"Time","AIRFLOW"
2023-11-08 09:35:00,32.2 GB
2023-11-08 09:35:15,32.2 GB
2023-11-08 09:35:30,32.2 GB
2023-11-08 09:35:45,32.2 GB
2023-11-08 09:36:00,32.2 GB
2023-11-08 09:36:15,32.2 GB
2023-11-08 09:36:30,32.2 GB
2023-11-08 09:36:45,32.2 GB
2023-11-08 09:37:00,32.2 GB
2023-11-08 09:37:15,32.2 GB
2023-11-08 09:37:30,32.2 GB
2023-11-08 09:37:45,32.2 GB
2023-11-08 09:38:00,32.2 GB
2023-11-08 09:38:15,32.2 GB
2023-11-08 09:38:30,32.2 GB
2023-11-08 09:38:45,32.2 GB
2023-11-08 09:39:00,32.2 GB
2023-11-08 09:39:15,32.2 GB
2023-11-08 09:39:30,32.2 GB
2023-11-08 09:39:45,32.2 GB
2023-11-08 09:40:00,32.2 GB
2023-11-08 09:40:15,32.2 GB
2023-11-08 09:40:30,32.2 GB
2023-11-08 09:40:45,32.2 GB
2023-11-08 09:41:00,32.2 GB
2023-11-08 09:41:15,32.2 GB
2023-11-08 09:41:30,32.2 GB
2023-11-08 09:41:45,32.2 GB
2023-11-08 09:42:00,32.2 GB
2023-11-08 09:42:15,32.2 GB
2023-11-08 09:42:30,32.2 GB
2023-11-08 09:42:45,32.2 GB
2023-11-08 09:43:00,32.2 GB
2023-11-08 09:43:15,32.2 GB
2023-11-08 09:43:30,32.2 GB
2023-11-08 09:43:45,32.2 GB
2023-11-08 09:44:00,32.2 GB
2023-11-08 09:44:15,32.2 GB
2023-11-08 09:44:30,32.2 GB
2023-11-08 09:44:45,32.2 GB
2023-11-08 09:45:00,32.2 GB
2023-11-08 09:45:15,32.2 GB
2023-11-08 09:45:30,32.2 GB
2023-11-08 09:45:45,32.2 GB
2023-11-08 09:46:00,32.2 GB
2023-11-08 09:46:15,32.2 GB
2023-11-08 09:46:30,32.2 GB
2023-11-08 09:46:45,32.2 GB
2023-11-08 09:47:00,32.2 GB
2023-11-08 09:47:15,32.2 GB
2023-11-08 09:47:30,32.2 GB
2023-11-08 09:47:45,32.2 GB
2023-11-08 09:48:00,32.2 GB
2023-11-08 09:48:15,32.2 GB
2023-11-08 09:48:30,32.2 GB
2023-11-08 09:48:45,32.2 GB
2023-11-08 09:49:00,32.2 GB
2023-11-08 09:49:15,32.2 GB
2023-11-08 09:49:30,32.2 GB
2023-11-08 09:49:45,32.2 GB
2023-11-08 09:50:00,32.2 GB
2023-11-08 09:50:15,32.2 GB
2023-11-08 09:50:30,32.2 GB
2023-11-08 09:50:45,32.2 GB
2023-11-08 09:51:00,32.2 GB
2023-11-08 09:51:15,32.2 GB
2023-11-08 09:51:30,32.2 GB
2023-11-08 09:51:45,32.2 GB
2023-11-08 09:52:00,32.2 GB
2023-11-08 09:52:15,32.2 GB
2023-11-08 09:52:30,32.2 GB
2023-11-08 09:52:45,32.2 GB
2023-11-08 09:53:00,32.2 GB
2023-11-08 09:53:15,32.2 GB
2023-11-08 09:53:30,32.2 GB
2023-11-08 09:53:45,32.2 GB
2023-11-08 09:54:00,32.2 GB
2023-11-08 09:54:15,32.2 GB
2023-11-08 09:54:30,32.2 GB
2023-11-08 09:54:45,32.2 GB
2023-11-08 09:55:00,32.2 GB
2023-11-08 09:55:15,32.2 GB
2023-11-08 09:55:30,32.2 GB
2023-11-08 09:55:45,32.2 GB
2023-11-08 09:56:00,32.2 GB
2023-11-08 09:56:15,32.2 GB
2023-11-08 09:56:30,32.2 GB
2023-11-08 09:56:45,32.2 GB
2023-11-08 09:57:00,32.2 GB
2023-11-08 09:57:15,32.2 GB
2023-11-08 09:57:30,32.2 GB
2023-11-08 09:57:45,32.2 GB
2023-11-08 09:58:00,32.2 GB
2023-11-08 09:58:15,32.2 GB
2023-11-08 09:58:30,32.2 GB
2023-11-08 09:58:45,32.2 GB
2023-11-08 09:59:00,32.2 GB
2023-11-08 09:59:15,32.2 GB
2023-11-08 09:59:30,32.2 GB
2023-11-08 09:59:45,32.2 GB
2023-11-08 10:00:00,32.2 GB
2023-11-08 10:00:15,32.2 GB
2023-11-08 10:00:30,32.2 GB
2023-11-08 10:00:45,32.2 GB
2023-11-08 10:01:00,32.2 GB
2023-11-08 10:01:15,32.2 GB
2023-11-08 10:01:30,32.2 GB
2023-11-08 10:01:45,32.2 GB
2023-11-08 10:02:00,32.2 GB
2023-11-08 10:02:15,32.2 GB
2023-11-08 10:02:30,32.2 GB
2023-11-08 10:02:45,32.2 GB
2023-11-08 10:03:00,32.2 GB
2023-11-08 10:03:15,32.2 GB
2023-11-08 10:03:30,32.2 GB
2023-11-08 10:03:45,32.2 GB
2023-11-08 10:04:00,32.2 GB
2023-11-08 10:04:15,32.2 GB
2023-11-08 10:04:30,32.2 GB
2023-11-08 10:04:45,32.2 GB
2023-11-08 10:05:00,32.2 GB
2023-11-08 10:05:15,32.2 GB
2023-11-08 10:05:30,32.2 GB
2023-11-08 10:05:45,32.2 GB
2023-11-08 10:06:00,32.2 GB
2023-11-08 10:06:15,32.2 GB
2023-11-08 10:06:30,32.2 GB
2023-11-08 10:06:45,32.2 GB
2023-11-08 10:07:00,32.2 GB
2023-11-08 10:07:15,32.2 GB
2023-11-08 10:07:30,32.2 GB
2023-11-08 10:07:45,32.2 GB
2023-11-08 10:08:00,32.2 GB
2023-11-08 10:08:15,32.2 GB
2023-11-08 10:08:30,32.2 GB
2023-11-08 10:08:45,32.2 GB
2023-11-08 10:09:00,32.2 GB
2023-11-08 10:09:15,32.2 GB
2023-11-08 10:09:30,32.2 GB
2023-11-08 10:09:45,32.2 GB
2023-11-08 10:10:00,32.2 GB
2023-11-08 10:10:15,32.2 GB
2023-11-08 10:10:30,32.2 GB
2023-11-08 10:10:45,32.2 GB
2023-11-08 10:11:00,32.2 GB
2023-11-08 10:11:15,32.2 GB
2023-11-08 10:11:30,32.2 GB
2023-11-08 10:11:45,32.2 GB
2023-11-08 10:12:00,32.2 GB
2023-11-08 10:12:15,32.2 GB
2023-11-08 10:12:30,32.2 GB
2023-11-08 10:12:45,32.2 GB
2023-11-08 10:13:00,32.2 GB
2023-11-08 10:13:15,32.2 GB
2023-11-08 10:13:30,32.2 GB
2023-11-08 10:13:45,32.2 GB
2023-11-08 10:14:00,32.2 GB
2023-11-08 10:14:15,32.2 GB
2023-11-08 10:14:30,32.2 GB
2023-11-08 10:14:45,32.2 GB
2023-11-08 10:15:00,32.2 GB
2023-11-08 10:15:15,32.2 GB
2023-11-08 10:15:30,32.2 GB
2023-11-08 10:15:45,32.2 GB
2023-11-08 10:16:00,32.2 GB
2023-11-08 10:16:15,32.2 GB
2023-11-08 10:16:30,32.2 GB
2023-11-08 10:16:45,32.2 GB
2023-11-08 10:17:00,32.2 GB
2023-11-08 10:17:15,32.2 GB
2023-11-08 10:17:30,32.2 GB
2023-11-08 10:17:45,32.2 GB
2023-11-08 10:18:00,32.2 GB
2023-11-08 10:18:15,32.2 GB
2023-11-08 10:18:30,32.2 GB
2023-11-08 10:18:45,32.2 GB
2023-11-08 10:19:00,32.2 GB
2023-11-08 10:19:15,32.2 GB
2023-11-08 10:19:30,32.2 GB
2023-11-08 10:19:45,32.2 GB
2023-11-08 10:20:00,32.2 GB
2023-11-08 10:20:15,32.2 GB
2023-11-08 10:20:30,32.2 GB
2023-11-08 10:20:45,32.2 GB
2023-11-08 10:21:00,32.2 GB
2023-11-08 10:21:15,32.2 GB
2023-11-08 10:21:30,32.2 GB
2023-11-08 10:21:45,32.2 GB
2023-11-08 10:22:00,32.2 GB
2023-11-08 10:22:15,32.2 GB
2023-11-08 10:22:30,32.2 GB
2023-11-08 10:22:45,32.2 GB
2023-11-08 10:23:00,32.2 GB
2023-11-08 10:23:15,32.2 GB
2023-11-08 10:23:30,32.2 GB
2023-11-08 10:23:45,32.2 GB
2023-11-08 10:24:00,32.2 GB
2023-11-08 10:24:15,32.2 GB
2023-11-08 10:24:30,32.2 GB
2023-11-08 10:24:45,32.2 GB
2023-11-08 10:25:00,32.2 GB
2023-11-08 10:25:15,32.2 GB
2023-11-08 10:25:30,32.2 GB
2023-11-08 10:25:45,32.2 GB
2023-11-08 10:26:00,32.2 GB
2023-11-08 10:26:15,32.2 GB
2023-11-08 10:26:30,32.2 GB
2023-11-08 10:26:45,32.2 GB
2023-11-08 10:27:00,32.2 GB
2023-11-08 10:27:15,32.2 GB
2023-11-08 10:27:30,32.2 GB
2023-11-08 10:27:45,32.2 GB
2023-11-08 10:28:00,32.2 GB
2023-11-08 10:28:15,32.2 GB
2023-11-08 10:28:30,32.2 GB
2023-11-08 10:28:45,32.2 GB
2023-11-08 10:29:00,32.2 GB
2023-11-08 10:29:15,32.2 GB
2023-11-08 10:29:30,32.2 GB
2023-11-08 10:29:45,32.2 GB
2023-11-08 10:30:00,32.2 GB
2023-11-08 10:30:15,32.2 GB
2023-11-08 10:30:30,32.2 GB
2023-11-08 10:30:45,32.2 GB
2023-11-08 10:31:00,32.2 GB
2023-11-08 10:31:15,32.2 GB
2023-11-08 10:31:30,32.2 GB
2023-11-08 10:31:45,32.2 GB
2023-11-08 10:32:00,32.2 GB
2023-11-08 10:32:15,32.2 GB
2023-11-08 10:32:30,32.2 GB
2023-11-08 10:32:45,32.2 GB
2023-11-08 10:33:00,32.2 GB
2023-11-08 10:33:15,32.2 GB
2023-11-08 10:33:30,32.2 GB
2023-11-08 10:33:45,32.2 GB
2023-11-08 10:34:00,32.2 GB
2023-11-08 10:34:15,32.2 GB
2023-11-08 10:34:30,32.2 GB
2023-11-08 10:34:45,32.2 GB
2023-11-08 10:35:00,32.2 GB
2023-11-08 10:35:15,32.2 GB
2023-11-08 10:35:30,32.2 GB
2023-11-08 10:35:45,32.2 GB
2023-11-08 10:36:00,32.2 GB
2023-11-08 10:36:15,32.2 GB
2023-11-08 10:36:30,32.2 GB
2023-11-08 10:36:45,32.2 GB
2023-11-08 10:37:00,32.2 GB
2023-11-08 10:37:15,32.2 GB
2023-11-08 10:37:30,32.2 GB
2023-11-08 10:37:45,32.2 GB
2023-11-08 10:38:00,32.2 GB
2023-11-08 10:38:15,32.2 GB
2023-11-08 10:38:30,32.2 GB
2023-11-08 10:38:45,32.2 GB
2023-11-08 10:39:00,32.2 GB
2023-11-08 10:39:15,32.2 GB
2023-11-08 10:39:30,32.2 GB
2023-11-08 10:39:45,32.2 GB
2023-11-08 10:40:00,32.2 GB
2023-11-08 10:40:15,32.2 GB
2023-11-08 10:40:30,32.2 GB
2023-11-08 10:40:45,32.2 GB
2023-11-08 10:41:00,32.2 GB
2023-11-08 10:41:15,32.2 GB
2023-11-08 10:41:30,32.2 GB
2023-11-08 10:41:45,32.2 GB
2023-11-08 10:42:00,32.2 GB
2023-11-08 10:42:15,32.2 GB
2023-11-08 10:42:30,32.2 GB
2023-11-08 10:42:45,32.2 GB
2023-11-08 10:43:00,32.2 GB
2023-11-08 10:43:15,32.2 GB
2023-11-08 10:43:30,32.2 GB
2023-11-08 10:43:45,32.2 GB
2023-11-08 10:44:00,32.2 GB
2023-11-08 10:44:15,32.2 GB
2023-11-08 10:44:30,32.2 GB
2023-11-08 10:44:45,32.2 GB
2023-11-08 10:45:00,32.2 GB
2023-11-08 10:45:15,32.2 GB
2023-11-08 10:45:30,32.2 GB
2023-11-08 10:45:45,32.2 GB
2023-11-08 10:46:00,32.2 GB
2023-11-08 10:46:15,32.2 GB
2023-11-08 10:46:30,32.2 GB
2023-11-08 10:46:45,32.2 GB
2023-11-08 10:47:00,32.2 GB
2023-11-08 10:47:15,32.2 GB
2023-11-08 10:47:30,32.2 GB
2023-11-08 10:47:45,32.2 GB
2023-11-08 10:48:00,32.2 GB
2023-11-08 10:48:15,32.2 GB
2023-11-08 10:48:30,32.2 GB
2023-11-08 10:48:45,32.2 GB
2023-11-08 10:49:00,32.2 GB
2023-11-08 10:49:15,32.2 GB
2023-11-08 10:49:30,32.2 GB
2023-11-08 10:49:45,32.2 GB
2023-11-08 10:50:00,32.2 GB
2023-11-08 10:50:15,32.2 GB
2023-11-08 10:50:30,32.2 GB
2023-11-08 10:50:45,32.2 GB
2023-11-08 10:51:00,32.2 GB
2023-11-08 10:51:15,32.2 GB
2023-11-08 10:51:30,32.2 GB
2023-11-08 10:51:45,32.2 GB
2023-11-08 10:52:00,32.2 GB
2023-11-08 10:52:15,32.2 GB
2023-11-08 10:52:30,32.2 GB
2023-11-08 10:52:45,32.2 GB
2023-11-08 10:53:00,32.2 GB
2023-11-08 10:53:15,32.2 GB
2023-11-08 10:53:30,32.2 GB
2023-11-08 10:53:45,32.2 GB
2023-11-08 10:54:00,32.2 GB
2023-11-08 10:54:15,32.2 GB
2023-11-08 10:54:30,32.2 GB
2023-11-08 10:54:45,32.2 GB
2023-11-08 10:55:00,32.2 GB
2023-11-08 10:55:15,32.2 GB
2023-11-08 10:55:30,32.2 GB
2023-11-08 10:55:45,32.2 GB
2023-11-08 10:56:00,32.2 GB
2023-11-08 10:56:15,32.2 GB
2023-11-08 10:56:30,32.2 GB
2023-11-08 10:56:45,32.2 GB
2023-11-08 10:57:00,32.2 GB
2023-11-08 10:57:15,32.2 GB
2023-11-08 10:57:30,32.2 GB
2023-11-08 10:57:45,32.2 GB
2023-11-08 10:58:00,32.2 GB
2023-11-08 10:58:15,32.2 GB
2023-11-08 10:58:30,32.2 GB
2023-11-08 10:58:45,32.2 GB
2023-11-08 10:59:00,32.2 GB
2023-11-08 10:59:15,32.2 GB
2023-11-08 10:59:30,32.2 GB
2023-11-08 10:59:45,32.2 GB
2023-11-08 11:00:00,32.2 GB
2023-11-08 11:00:15,32.2 GB
2023-11-08 11:00:30,32.2 GB
2023-11-08 11:00:45,32.2 GB
2023-11-08 11:01:00,32.2 GB
2023-11-08 11:01:15,32.2 GB
2023-11-08 11:01:30,32.2 GB
2023-11-08 11:01:45,32.2 GB
2023-11-08 11:02:00,32.2 GB
2023-11-08 11:02:15,32.2 GB
2023-11-08 11:02:30,32.2 GB
2023-11-08 11:02:45,32.2 GB
2023-11-08 11:03:00,32.2 GB
2023-11-08 11:03:15,32.2 GB
2023-11-08 11:03:30,32.2 GB
2023-11-08 11:03:45,32.2 GB
2023-11-08 11:04:00,32.2 GB
2023-11-08 11:04:15,32.2 GB
2023-11-08 11:04:30,32.2 GB
2023-11-08 11:04:45,32.2 GB
2023-11-08 11:05:00,32.2 GB
2023-11-08 11:05:15,32.2 GB
2023-11-08 11:05:30,32.2 GB
2023-11-08 11:05:45,32.2 GB
2023-11-08 11:06:00,32.2 GB
2023-11-08 11:06:15,32.2 GB
2023-11-08 11:06:30,32.2 GB
2023-11-08 11:06:45,32.2 GB
2023-11-08 11:07:00,32.2 GB
2023-11-08 11:07:15,32.2 GB
2023-11-08 11:07:30,32.2 GB
2023-11-08 11:07:45,32.2 GB
2023-11-08 11:08:00,32.2 GB
2023-11-08 11:08:15,32.2 GB
2023-11-08 11:08:30,32.2 GB
2023-11-08 11:08:45,32.2 GB
2023-11-08 11:09:00,32.2 GB
2023-11-08 11:09:15,32.2 GB
2023-11-08 11:09:30,32.2 GB
2023-11-08 11:09:45,32.2 GB
2023-11-08 11:10:00,32.2 GB
2023-11-08 11:10:15,32.2 GB
2023-11-08 11:10:30,32.2 GB
2023-11-08 11:10:45,32.2 GB
2023-11-08 11:11:00,32.2 GB
2023-11-08 11:11:15,32.2 GB
2023-11-08 11:11:30,32.2 GB
2023-11-08 11:11:45,32.2 GB
2023-11-08 11:12:00,32.2 GB
2023-11-08 11:12:15,32.2 GB
2023-11-08 11:12:30,32.2 GB
2023-11-08 11:12:45,32.2 GB
2023-11-08 11:13:00,32.2 GB
2023-11-08 11:13:15,32.2 GB
2023-11-08 11:13:30,32.2 GB
2023-11-08 11:13:45,32.2 GB
2023-11-08 11:14:00,32.2 GB
2023-11-08 11:14:15,32.2 GB
2023-11-08 11:14:30,32.2 GB
2023-11-08 11:14:45,32.2 GB
2023-11-08 11:15:00,32.2 GB
2023-11-08 11:15:15,32.2 GB
2023-11-08 11:15:30,32.2 GB
2023-11-08 11:15:45,32.2 GB
2023-11-08 11:16:00,32.2 GB
2023-11-08 11:16:15,32.2 GB
2023-11-08 11:16:30,32.2 GB
2023-11-08 11:16:45,32.2 GB
2023-11-08 11:17:00,32.2 GB
2023-11-08 11:17:15,32.2 GB
2023-11-08 11:17:30,32.2 GB
2023-11-08 11:17:45,32.2 GB
2023-11-08 11:18:00,32.2 GB
2023-11-08 11:18:15,32.2 GB
2023-11-08 11:18:30,32.2 GB
2023-11-08 11:18:45,32.2 GB
2023-11-08 11:19:00,32.2 GB
2023-11-08 11:19:15,32.2 GB
2023-11-08 11:19:30,32.2 GB
2023-11-08 11:19:45,32.2 GB
2023-11-08 11:20:00,32.2 GB
2023-11-08 11:20:15,32.2 GB
2023-11-08 11:20:30,32.2 GB
2023-11-08 11:20:45,32.2 GB
2023-11-08 11:21:00,32.2 GB
2023-11-08 11:21:15,32.2 GB
2023-11-08 11:21:30,32.2 GB
2023-11-08 11:21:45,32.2 GB
2023-11-08 11:22:00,32.2 GB
2023-11-08 11:22:15,32.2 GB
2023-11-08 11:22:30,32.2 GB
2023-11-08 11:22:45,32.2 GB
2023-11-08 11:23:00,32.2 GB
2023-11-08 11:23:15,32.2 GB
2023-11-08 11:23:30,32.2 GB
2023-11-08 11:23:45,32.2 GB
2023-11-08 11:24:00,32.2 GB
2023-11-08 11:24:15,32.2 GB
2023-11-08 11:24:30,32.2 GB
2023-11-08 11:24:45,32.2 GB
2023-11-08 11:25:00,32.2 GB
2023-11-08 11:25:15,32.2 GB
2023-11-08 11:25:30,32.2 GB
2023-11-08 11:25:45,32.2 GB
2023-11-08 11:26:00,32.2 GB
2023-11-08 11:26:15,32.2 GB
2023-11-08 11:26:30,32.2 GB
2023-11-08 11:26:45,32.2 GB
2023-11-08 11:27:00,32.2 GB
2023-11-08 11:27:15,32.2 GB
2023-11-08 11:27:30,32.2 GB
2023-11-08 11:27:45,32.2 GB
2023-11-08 11:28:00,32.2 GB
2023-11-08 11:28:15,32.2 GB
2023-11-08 11:28:30,32.2 GB
2023-11-08 11:28:45,32.2 GB
2023-11-08 11:29:00,32.2 GB
2023-11-08 11:29:15,32.2 GB
2023-11-08 11:29:30,32.2 GB
2023-11-08 11:29:45,32.2 GB
2023-11-08 11:30:00,32.2 GB
2023-11-08 11:30:15,32.2 GB
2023-11-08 11:30:30,32.2 GB
2023-11-08 11:30:45,32.2 GB
2023-11-08 11:31:00,32.2 GB
2023-11-08 11:31:15,32.2 GB
2023-11-08 11:31:30,32.2 GB
2023-11-08 11:31:45,32.2 GB
2023-11-08 11:32:00,32.2 GB
2023-11-08 11:32:15,32.2 GB
2023-11-08 11:32:30,32.2 GB
2023-11-08 11:32:45,32.2 GB
2023-11-08 11:33:00,32.2 GB
2023-11-08 11:33:15,32.2 GB
2023-11-08 11:33:30,32.2 GB
2023-11-08 11:33:45,32.2 GB
2023-11-08 11:34:00,32.2 GB
2023-11-08 11:34:15,32.2 GB
2023-11-08 11:34:30,32.2 GB
2023-11-08 11:34:45,32.2 GB
2023-11-08 11:35:00,32.2 GB
2023-11-08 11:35:15,32.2 GB
2023-11-08 11:35:30,32.2 GB
2023-11-08 11:35:45,32.2 GB
2023-11-08 11:36:00,32.2 GB
2023-11-08 11:36:15,32.2 GB
2023-11-08 11:36:30,32.2 GB
2023-11-08 11:36:45,32.2 GB
2023-11-08 11:37:00,32.2 GB
2023-11-08 11:37:15,32.2 GB
2023-11-08 11:37:30,32.2 GB
2023-11-08 11:37:45,32.2 GB
2023-11-08 11:38:00,32.2 GB
2023-11-08 11:38:15,32.2 GB
2023-11-08 11:38:30,32.2 GB
2023-11-08 11:38:45,32.2 GB
2023-11-08 11:39:00,32.2 GB
2023-11-08 11:39:15,32.2 GB
2023-11-08 11:39:30,32.2 GB
2023-11-08 11:39:45,32.2 GB
2023-11-08 11:40:00,32.2 GB
2023-11-08 11:40:15,32.2 GB
2023-11-08 11:40:30,32.2 GB
2023-11-08 11:40:45,32.2 GB
2023-11-08 11:41:00,32.2 GB
2023-11-08 11:41:15,32.2 GB
2023-11-08 11:41:30,32.2 GB
2023-11-08 11:41:45,32.2 GB
2023-11-08 11:42:00,32.2 GB
2023-11-08 11:42:15,32.2 GB
2023-11-08 11:42:30,32.2 GB
2023-11-08 11:42:45,32.2 GB
2023-11-08 11:43:00,32.2 GB
2023-11-08 11:43:15,32.2 GB
2023-11-08 11:43:30,32.2 GB
2023-11-08 11:43:45,32.2 GB
2023-11-08 11:44:00,32.2 GB
2023-11-08 11:44:15,32.2 GB
2023-11-08 11:44:30,32.2 GB
2023-11-08 11:44:45,32.2 GB
2023-11-08 11:45:00,32.2 GB
2023-11-08 11:45:15,32.2 GB
2023-11-08 11:45:30,32.2 GB
2023-11-08 11:45:45,32.2 GB
2023-11-08 11:46:00,32.2 GB
2023-11-08 11:46:15,32.2 GB
2023-11-08 11:46:30,32.2 GB
2023-11-08 11:46:45,32.2 GB
2023-11-08 11:47:00,32.2 GB
2023-11-08 11:47:15,32.2 GB
2023-11-08 11:47:30,32.2 GB
2023-11-08 11:47:45,32.2 GB
2023-11-08 11:48:00,32.2 GB
2023-11-08 11:48:15,32.2 GB
2023-11-08 11:48:30,32.2 GB
2023-11-08 11:48:45,32.2 GB
2023-11-08 11:49:00,32.2 GB
2023-11-08 11:49:15,32.2 GB
2023-11-08 11:49:30,32.2 GB
2023-11-08 11:49:45,32.2 GB
2023-11-08 11:50:00,32.2 GB
2023-11-08 11:50:15,32.2 GB
2023-11-08 11:50:30,32.2 GB
2023-11-08 11:50:45,32.2 GB
2023-11-08 11:51:00,32.2 GB
2023-11-08 11:51:15,32.2 GB
2023-11-08 11:51:30,32.2 GB
2023-11-08 11:51:45,32.2 GB
2023-11-08 11:52:00,32.2 GB
2023-11-08 11:52:15,32.2 GB
2023-11-08 11:52:30,32.2 GB
2023-11-08 11:52:45,32.2 GB
2023-11-08 11:53:00,32.2 GB
2023-11-08 11:53:15,32.2 GB
2023-11-08 11:53:30,32.2 GB
2023-11-08 11:53:45,32.2 GB
2023-11-08 11:54:00,32.2 GB
2023-11-08 11:54:15,32.2 GB
2023-11-08 11:54:30,32.2 GB
2023-11-08 11:54:45,32.2 GB
2023-11-08 11:55:00,32.2 GB
2023-11-08 11:55:15,32.2 GB
2023-11-08 11:55:30,32.2 GB
2023-11-08 11:55:45,32.2 GB
2023-11-08 11:56:00,32.2 GB
2023-11-08 11:56:15,32.2 GB
2023-11-08 11:56:30,32.2 GB
2023-11-08 11:56:45,32.2 GB
2023-11-08 11:57:00,32.2 GB
2023-11-08 11:57:15,32.2 GB
2023-11-08 11:57:30,32.2 GB
2023-11-08 11:57:45,32.2 GB
2023-11-08 11:58:00,32.2 GB
2023-11-08 11:58:15,32.2 GB
2023-11-08 11:58:30,32.2 GB
2023-11-08 11:58:45,32.2 GB
2023-11-08 11:59:00,32.2 GB
2023-11-08 11:59:15,32.2 GB
2023-11-08 11:59:30,32.2 GB
2023-11-08 11:59:45,32.2 GB
2023-11-08 12:00:00,32.2 GB
2023-11-08 12:00:15,32.2 GB
2023-11-08 12:00:30,32.2 GB
2023-11-08 12:00:45,32.2 GB
2023-11-08 12:01:00,32.2 GB
2023-11-08 12:01:15,32.2 GB
2023-11-08 12:01:30,32.2 GB
2023-11-08 12:01:45,32.2 GB
2023-11-08 12:02:00,32.2 GB
2023-11-08 12:02:15,32.2 GB
2023-11-08 12:02:30,32.2 GB
2023-11-08 12:02:45,32.2 GB
2023-11-08 12:03:00,32.2 GB
2023-11-08 12:03:15,32.2 GB
2023-11-08 12:03:30,32.2 GB
2023-11-08 12:03:45,32.2 GB
2023-11-08 12:04:00,32.2 GB
2023-11-08 12:04:15,32.2 GB
2023-11-08 12:04:30,32.2 GB
2023-11-08 12:04:45,32.2 GB
2023-11-08 12:05:00,32.2 GB
2023-11-08 12:05:15,32.2 GB
2023-11-08 12:05:30,32.2 GB
2023-11-08 12:05:45,32.2 GB
2023-11-08 12:06:00,32.2 GB
2023-11-08 12:06:15,32.2 GB
2023-11-08 12:06:30,32.2 GB
2023-11-08 12:06:45,32.2 GB
2023-11-08 12:07:00,32.2 GB
2023-11-08 12:07:15,32.2 GB
2023-11-08 12:07:30,32.2 GB
2023-11-08 12:07:45,32.2 GB
2023-11-08 12:08:00,32.2 GB
2023-11-08 12:08:15,32.2 GB
2023-11-08 12:08:30,32.2 GB
2023-11-08 12:08:45,32.2 GB
2023-11-08 12:09:00,32.2 GB
2023-11-08 12:09:15,32.2 GB
2023-11-08 12:09:30,32.2 GB
2023-11-08 12:09:45,32.2 GB
2023-11-08 12:10:00,32.2 GB
2023-11-08 12:10:15,32.2 GB
2023-11-08 12:10:30,32.2 GB
2023-11-08 12:10:45,32.2 GB
2023-11-08 12:11:00,32.2 GB
2023-11-08 12:11:15,32.2 GB
2023-11-08 12:11:30,32.2 GB
2023-11-08 12:11:45,32.2 GB
2023-11-08 12:12:00,32.2 GB
2023-11-08 12:12:15,32.2 GB
2023-11-08 12:12:30,32.2 GB
2023-11-08 12:12:45,32.2 GB
2023-11-08 12:13:00,32.2 GB
2023-11-08 12:13:15,32.2 GB
2023-11-08 12:13:30,32.2 GB
2023-11-08 12:13:45,32.2 GB
2023-11-08 12:14:00,32.2 GB
2023-11-08 12:14:15,32.2 GB
2023-11-08 12:14:30,32.2 GB
2023-11-08 12:14:45,32.2 GB
2023-11-08 12:15:00,32.2 GB
2023-11-08 12:15:15,32.2 GB
2023-11-08 12:15:30,32.2 GB
2023-11-08 12:15:45,32.2 GB
2023-11-08 12:16:00,32.2 GB
2023-11-08 12:16:15,32.2 GB
2023-11-08 12:16:30,32.2 GB
2023-11-08 12:16:45,32.2 GB
2023-11-08 12:17:00,32.2 GB
2023-11-08 12:17:15,32.2 GB
2023-11-08 12:17:30,32.2 GB
2023-11-08 12:17:45,32.2 GB
2023-11-08 12:18:00,32.2 GB